time_since_update,disk_name,read_count,write_count,read_bytes,write_bytes,key,iteration&time
20.233492851257324,loop0,0,0,0,0,disk_name,1:1667129230.8791084
20.233492851257324,loop1,0,0,0,0,disk_name,1:1667129230.8791084
20.233492851257324,loop2,0,0,0,0,disk_name,1:1667129230.8791084
20.233492851257324,loop3,0,0,0,0,disk_name,1:1667129230.8791084
20.233492851257324,loop4,0,0,0,0,disk_name,1:1667129230.8791084
20.233492851257324,loop5,0,0,0,0,disk_name,1:1667129230.8791084
20.233492851257324,loop6,0,0,0,0,disk_name,1:1667129230.8791084
20.233492851257324,loop7,0,0,0,0,disk_name,1:1667129230.8791084
20.233492851257324,sda,0,0,0,0,disk_name,1:1667129230.8791084
20.233492851257324,sdb,0,0,0,0,disk_name,1:1667129230.8791084
20.233492851257324,sdc,0,129,0,22687744,disk_name,1:1667129230.8791084
20.233492851257324,sdd,0,0,0,0,disk_name,1:1667129230.8791084
20.28883671760559,loop0,0,0,0,0,disk_name,2:1667129251.3164334
20.28883671760559,loop1,0,0,0,0,disk_name,2:1667129251.3164334
20.28883671760559,loop2,0,0,0,0,disk_name,2:1667129251.3164334
20.28883671760559,loop3,0,0,0,0,disk_name,2:1667129251.3164334
20.28883671760559,loop4,0,0,0,0,disk_name,2:1667129251.3164334
20.28883671760559,loop5,0,0,0,0,disk_name,2:1667129251.3164334
20.28883671760559,loop6,0,0,0,0,disk_name,2:1667129251.3164334
20.28883671760559,loop7,0,0,0,0,disk_name,2:1667129251.3164334
20.28883671760559,sda,0,0,0,0,disk_name,2:1667129251.3164334
20.28883671760559,sdb,0,0,0,0,disk_name,2:1667129251.3164334
20.28883671760559,sdc,0,331,0,78905344,disk_name,2:1667129251.3164334
20.28883671760559,sdd,0,0,0,0,disk_name,2:1667129251.3164334
20.54072856903076,loop0,0,0,0,0,disk_name,3:1667129271.7428563
20.54072856903076,loop1,0,0,0,0,disk_name,3:1667129271.7428563
20.54072856903076,loop2,0,0,0,0,disk_name,3:1667129271.7428563
20.54072856903076,loop3,0,0,0,0,disk_name,3:1667129271.7428563
20.54072856903076,loop4,0,0,0,0,disk_name,3:1667129271.7428563
20.54072856903076,loop5,0,0,0,0,disk_name,3:1667129271.7428563
20.54072856903076,loop6,0,0,0,0,disk_name,3:1667129271.7428563
20.54072856903076,loop7,0,0,0,0,disk_name,3:1667129271.7428563
20.54072856903076,sda,0,0,0,0,disk_name,3:1667129271.7428563
20.54072856903076,sdb,0,0,0,0,disk_name,3:1667129271.7428563
20.54072856903076,sdc,8,4457,32768,163540992,disk_name,3:1667129271.7428563
20.54072856903076,sdd,0,0,0,0,disk_name,3:1667129271.7428563
