total,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,time_since_update,cpucore,ctx_switches,interrupts,soft_interrupts,syscalls,iteration&time
0.1,0.1,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,20.231592416763306,8,2384,764,2082,0,1:1667128138.318884
0.2,0.1,0.0,0.1,99.8,0.0,0.0,0.0,0.0,0.0,0.0,20.243861198425293,8,2955,1101,2393,0,2:1667128158.57226
0.1,0.1,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,20.30388617515564,8,2425,780,2219,0,3:1667128178.8736336
