min1,min5,min15,cpucore,iteration&time
0.24,0.16,0.06,8,1:1667388439.518638
0.24,0.16,0.06,8,2:1667388440.7064157
0.24,0.16,0.06,8,3:1667388441.887021
0.24,0.16,0.06,8,4:1667388443.0170903
0.22,0.15,0.06,8,5:1667388444.178717
