total,running,sleeping,thread,pid_max,iteration&time
26,1,25,85,0,1:1667388462.9403539
26,1,25,85,0,2:1667388464.1557283
29,1,28,88,0,3:1667388465.3845835
29,1,28,88,0,4:1667388466.536696
26,1,25,85,0,5:1667388467.7850263
