total,available,percent,used,free,active,inactive,buffers,cached,shared,iteration&time
8249192448,7383252992,10.5,865939456,7383252992,97849344,513871872,37224448,252710912,1105920,1:1667127956.21334
8249192448,7383457792,10.5,865734656,7383457792,97886208,514371584,37257216,252719104,1105920,2:1667127976.4558532
8249192448,7384018944,10.5,865173504,7384018944,97923072,513839104,37289984,252719104,1105920,3:1667127996.7288873
