min1,min5,min15,cpucore,iteration&time
0.26,0.17,0.07,8,1:1667388475.2408133
0.26,0.17,0.07,8,2:1667388476.451183
0.26,0.17,0.07,8,3:1667388477.832851
0.26,0.17,0.07,8,4:1667388479.030924
0.32,0.19,0.07,8,5:1667388480.3740904
