key,cpu_number,total,user,system,idle,nice,iowait,irq,softirq,steal,guest,guest_nice,iteration&time
cpu_number,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667388475.1997569
cpu_number,1,0.2,0.2,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667388475.1997569
cpu_number,2,1.4,1.2,0.2,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667388475.1997569
cpu_number,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667388475.1997569
cpu_number,4,0.4,0.2,0.2,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667388475.1997569
cpu_number,5,4.3,3.4,1.0,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667388475.1997569
cpu_number,6,10.7,8.1,2.4,89.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1:1667388475.1997569
cpu_number,7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667388475.1997569
cpu_number,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667388476.414475
cpu_number,1,0.2,0.2,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667388476.414475
cpu_number,2,1.4,1.2,0.2,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667388476.414475
cpu_number,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667388476.414475
cpu_number,4,0.4,0.2,0.2,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667388476.414475
cpu_number,5,4.3,3.4,1.0,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667388476.414475
cpu_number,6,10.7,8.1,2.4,89.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2:1667388476.414475
cpu_number,7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667388476.414475
cpu_number,0,0.2,0.0,0.0,99.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3:1667388477.7534714
cpu_number,1,0.4,0.4,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667388477.7534714
cpu_number,2,0.8,0.4,0.4,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667388477.7534714
cpu_number,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667388477.7534714
cpu_number,4,0.2,0.0,0.2,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667388477.7534714
cpu_number,5,5.5,4.3,1.2,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667388477.7534714
cpu_number,6,9.2,6.3,2.9,90.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667388477.7534714
cpu_number,7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667388477.7534714
cpu_number,0,0.2,0.0,0.0,99.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,4:1667388478.9949079
cpu_number,1,0.4,0.4,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:1667388478.9949079
cpu_number,2,0.8,0.4,0.4,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:1667388478.9949079
cpu_number,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:1667388478.9949079
cpu_number,4,0.2,0.0,0.2,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:1667388478.9949079
cpu_number,5,5.5,4.3,1.2,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:1667388478.9949079
cpu_number,6,9.2,6.3,2.9,90.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:1667388478.9949079
cpu_number,7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:1667388478.9949079
cpu_number,0,0.2,0.0,0.0,99.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5:1667388480.3435223
cpu_number,1,0.4,0.4,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388480.3435223
cpu_number,2,0.8,0.4,0.4,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388480.3435223
cpu_number,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388480.3435223
cpu_number,4,0.2,0.0,0.2,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388480.3435223
cpu_number,5,5.5,4.3,1.2,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388480.3435223
cpu_number,6,9.2,6.3,2.9,90.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388480.3435223
cpu_number,7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388480.3435223
