key,cpu_number,total,user,system,idle,nice,iowait,irq,softirq,steal,guest,guest_nice,iteration&time
cpu_number,0,2.9,0.8,0.4,97.1,0.0,0.0,0.0,1.7,0.0,0.0,0.0,1:1667388487.3684585
cpu_number,1,0.2,0.0,0.0,99.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1:1667388487.3684585
cpu_number,2,2.1,1.7,0.2,97.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1:1667388487.3684585
cpu_number,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667388487.3684585
cpu_number,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667388487.3684585
cpu_number,5,3.4,2.6,0.6,96.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1:1667388487.3684585
cpu_number,6,4.3,3.4,0.9,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667388487.3684585
cpu_number,7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667388487.3684585
cpu_number,0,2.9,0.8,0.4,97.1,0.0,0.0,0.0,1.7,0.0,0.0,0.0,2:1667388488.5385973
cpu_number,1,0.2,0.0,0.0,99.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2:1667388488.5385973
cpu_number,2,2.1,1.7,0.2,97.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2:1667388488.5385973
cpu_number,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667388488.5385973
cpu_number,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667388488.5385973
cpu_number,5,3.4,2.6,0.6,96.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2:1667388488.5385973
cpu_number,6,4.3,3.4,0.9,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667388488.5385973
cpu_number,7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667388488.5385973
cpu_number,0,2.9,0.8,0.4,97.1,0.0,0.0,0.0,1.7,0.0,0.0,0.0,3:1667388489.8924582
cpu_number,1,0.2,0.0,0.0,99.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3:1667388489.8924582
cpu_number,2,2.1,1.7,0.2,97.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3:1667388489.8924582
cpu_number,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667388489.8924582
cpu_number,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667388489.8924582
cpu_number,5,3.4,2.6,0.6,96.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3:1667388489.8924582
cpu_number,6,4.3,3.4,0.9,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667388489.8924582
cpu_number,7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667388489.8924582
cpu_number,0,2.9,0.8,0.4,97.1,0.0,0.0,0.0,1.7,0.0,0.0,0.0,4:1667388491.2803419
cpu_number,1,0.2,0.0,0.0,99.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,4:1667388491.2803419
cpu_number,2,2.1,1.7,0.2,97.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4:1667388491.2803419
cpu_number,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:1667388491.2803419
cpu_number,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:1667388491.2803419
cpu_number,5,3.4,2.6,0.6,96.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,4:1667388491.2803419
cpu_number,6,4.3,3.4,0.9,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:1667388491.2803419
cpu_number,7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:1667388491.2803419
cpu_number,0,1.9,1.0,0.2,98.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,5:1667388492.4709563
cpu_number,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388492.4709563
cpu_number,2,0.8,0.4,0.4,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388492.4709563
cpu_number,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388492.4709563
cpu_number,4,4.0,3.2,0.8,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388492.4709563
cpu_number,5,1.0,0.4,0.2,99.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,5:1667388492.4709563
cpu_number,6,0.2,0.2,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388492.4709563
cpu_number,7,8.6,7.3,1.4,91.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:1667388492.4709563
