total,running,sleeping,thread,pid_max,iteration&time
26,1,25,85,0,1:1667388451.1558285
26,1,25,85,0,2:1667388452.3178961
26,1,25,85,0,3:1667388453.520634
26,1,25,85,0,4:1667388454.6615121
29,1,28,88,0,5:1667388455.8502405
