min1,min5,min15,cpucore,iteration&time
0.29,0.17,0.07,8,1:1667388451.163488
0.29,0.17,0.07,8,2:1667388452.333767
0.26,0.17,0.06,8,3:1667388453.5364625
0.26,0.17,0.06,8,4:1667388454.6751392
0.26,0.17,0.06,8,5:1667388455.8636386
