min1,min5,min15,cpucore,iteration&time
0.29,0.19,0.08,8,1:1667388499.6764233
0.29,0.19,0.08,8,2:1667388500.8544767
0.29,0.19,0.08,8,3:1667388502.0780852
0.29,0.19,0.08,8,4:1667388503.2337606
0.27,0.19,0.08,8,5:1667388504.415446
