label,value,unit,status,type,key,iteration&time
Battery,100,%,Charging,battery,label,1:1667126804.8137777
Battery,100,%,Charging,battery,label,2:1667126824.9923985
Battery,100,%,Charging,battery,label,3:1667126845.1456265
