min1,min5,min15,cpucore,iteration&time
0.26,0.17,0.06,8,1:1667388457.0098896
0.24,0.16,0.06,8,2:1667388458.2462351
0.24,0.16,0.06,8,3:1667388459.3957534
0.24,0.16,0.06,8,4:1667388460.5908253
0.24,0.16,0.06,8,5:1667388461.7629905
