total,running,sleeping,thread,pid_max,iteration&time
29,1,28,88,0,1:1667388457.0025723
26,1,25,85,0,2:1667388458.2249775
26,1,25,85,0,3:1667388459.3796163
29,1,28,88,0,4:1667388460.5751858
29,1,28,88,0,5:1667388461.7472053
