key,cpu_number,total,user,system,idle,nice,iowait,irq,softirq,steal,guest,guest_nice,iteration&time
cpu_number,0,5.9,0.0,0.7,94.1,4.9,0.0,0.0,0.3,0.0,0.0,0.0,1:1667129839.7628222
cpu_number,1,81.1,0.0,3.5,18.9,77.6,0.0,0.0,0.0,0.0,0.0,0.0,1:1667129839.7628222
cpu_number,2,2.6,0.5,0.4,97.4,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1:1667129839.7628222
cpu_number,3,0.2,0.1,0.1,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667129839.7628222
cpu_number,4,9.5,5.0,4.5,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667129839.7628222
cpu_number,5,1.7,0.0,1.6,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667129839.7628222
cpu_number,6,3.0,0.1,2.9,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667129839.7628222
cpu_number,7,2.0,0.1,1.8,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667129839.7628222
cpu_number,0,1.5,0.4,0.4,98.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,2:1667129860.1399305
cpu_number,1,1.1,0.1,1.0,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129860.1399305
cpu_number,2,1.4,0.2,1.1,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129860.1399305
cpu_number,3,1.6,0.1,1.5,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129860.1399305
cpu_number,4,3.4,1.2,2.2,96.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129860.1399305
cpu_number,5,0.4,0.0,0.3,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129860.1399305
cpu_number,6,5.9,0.5,5.4,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129860.1399305
cpu_number,7,0.2,0.0,0.1,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129860.1399305
cpu_number,0,1.2,0.3,0.2,98.8,0.0,0.0,0.0,0.6,0.0,0.0,0.0,3:1667129880.3802567
cpu_number,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667129880.3802567
cpu_number,2,1.2,0.0,1.2,98.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667129880.3802567
cpu_number,3,0.5,0.0,0.5,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667129880.3802567
cpu_number,4,1.2,0.3,0.9,98.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667129880.3802567
cpu_number,5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667129880.3802567
cpu_number,6,5.2,0.9,4.2,94.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667129880.3802567
cpu_number,7,2.0,0.1,1.8,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667129880.3802567
