label,value,unit,status,type,key,iteration&time
Battery,100,%,Charging,battery,label,1:1667126139.820319
Battery,100,%,Charging,battery,label,2:1667126159.9868362
Battery,100,%,Charging,battery,label,3:1667126180.156188
