total,running,sleeping,thread,pid_max,iteration&time
26,1,25,85,0,1:1667388493.6591403
29,1,28,88,0,2:1667388494.9414854
29,1,28,88,0,3:1667388496.116995
26,1,25,85,0,4:1667388497.3009334
26,1,25,85,0,5:1667388498.462795
