label,value,unit,status,type,key,iteration&time
Battery,43,%,Discharging,battery,label,1:1667388493.7015018
Battery,43,%,Discharging,battery,label,2:1667388494.9956725
Battery,43,%,Discharging,battery,label,3:1667388496.1455798
Battery,43,%,Discharging,battery,label,4:1667388497.324224
Battery,43,%,Discharging,battery,label,5:1667388498.5021486
