min1,min5,min15,cpucore,iteration&time
0.22,0.15,0.06,8,1:1667388445.3211558
0.22,0.15,0.06,8,2:1667388446.5184057
0.22,0.15,0.06,8,3:1667388447.652542
0.29,0.17,0.07,8,4:1667388448.8389895
0.29,0.17,0.07,8,5:1667388449.9819264
