min1,min5,min15,cpucore,iteration&time
0.22,0.16,0.06,8,1:1667388468.978696
0.28,0.17,0.07,8,2:1667388470.316552
0.28,0.17,0.07,8,3:1667388471.6548586
0.26,0.17,0.07,8,4:1667388472.8745394
0.26,0.17,0.07,8,5:1667388474.0160587
