total,running,sleeping,thread,pid_max,iteration&time
26,1,25,85,0,1:1667388481.484887
29,1,28,88,0,2:1667388482.6884623
29,1,28,88,0,3:1667388483.8346722
26,1,25,85,0,4:1667388485.0287583
26,1,25,85,0,5:1667388486.162729
