min1,min5,min15,cpucore,iteration&time
0.32,0.19,0.07,8,1:1667388481.4917204
0.32,0.19,0.07,8,2:1667388482.7032905
0.32,0.19,0.07,8,3:1667388483.8477607
0.38,0.2,0.08,8,4:1667388485.0451608
0.38,0.2,0.08,8,5:1667388486.1727526
